class,name,scientific_name,chinese_name,sex
0,Black-winged Kite,Elanus caeruleus,黑翅鳶,
1,Light-vented Bulbul,Pycnonotus sinensis,白頭翁,
2,Brown Shrike,Lanius cristatus,紅尾伯勞,
3,Black Drongo,Dicrurus macrocercus,大卷尾,
4,Plain Prinia,Prinia inornata,褐頭鷦鶯,
5,Common Kingfisher,Alcedo atthis,翠鳥,
6,Black Bulbul,Hypsipetes leucocephalus,紅嘴黑鵯,
7,Red-collared Dove,Streptopelia tranquebarica,紅鳩,
8,Gray Treepie,Dendrocitta formosae,樹鵲,
9,Eurasian Tree-Sparrow,Passer montanus,麻雀,
10,Long-tailed Shrike,Lanius schach,棕背伯勞,
11,Daurian Redstart (female),Phoenicurus auroreus,黃尾鴝,f
12,Blue Rock-Thrush (male),Monticola solitarius,藍磯鶇,m
13,Blue Rock-Thrush (female juv),Monticola solitarius,藍磯鶇,f
14,Daurian Redstart (male),Phoenicurus auroreus,黃尾鴝,m
15,Javan Myna,Acridotheres javanicus,白尾八哥,
16,Common Myna,Acridotheres tristis,家八哥,
17,White Wagtail,Motacilla alba,白鶺鴒,
18,Spotted Dove,Streptopelia chinensis,珠頸斑鳩,
